,county,pop_total,unemployment_rate,income,temp
159,"Clayton County, Georgia",297595,0.069,40938,71.9
160,"Cobb County, Georgia",766149,0.035,65873,71.1
161,"Columbia County, Georgia",156010,0.034,71021,74.1
162,"Coweta County, Georgia",146158,0.022,62461,72.0
163,"DeKalb County, Georgia",764382,0.049,51376,71.5
164,"Dougherty County, Georgia",85790,0.125,32084,76.5
165,"Douglas County, Georgia",144237,0.06,53881,71.3
166,"Fayette County, Georgia",119194,0.024,79066,72.1
167,"Floyd County, Georgia",98584,0.042,41549,70.4
168,"Forsyth County, Georgia",251283,0.0289999999999999,88816,69.7
169,"Fulton County, Georgia",1066710,0.042,57207,71.4
170,"Glynn County, Georgia",84499,0.048,45918,76.7
171,"Gwinnett County, Georgia",957062,0.032,60289,70.8
172,"Hall County, Georgia",203136,0.039,51202,70.0
173,"Henry County, Georgia",240712,0.052,60424,72.0
174,"Houston County, Georgia",163633,0.042,53270,74.9
175,"Jackson County, Georgia",75907,0.023,53379,71.3
176,"Lowndes County, Georgia",118251,0.067,36834,76.2
177,"Muscogee County, Georgia",206922,0.065,42306,73.6
178,"Newton County, Georgia",112483,0.043,49179,71.8
179,"Paulding County, Georgia",168661,0.046,60109,70.7
180,"Richmond County, Georgia",206607,0.0579999999999999,37424,75.0
181,"Rockdale County, Georgia",93570,0.068,50455,71.7
182,"Spalding County, Georgia",67306,0.036,40246,72.2
183,"Troup County, Georgia",69426,0.036,41489,72.1
184,"Walker County, Georgia",67654,0.067,41632,69.9
185,"Walton County, Georgia",96673,0.07,54453,71.5
186,"Whitfield County, Georgia",102864,0.048,40596,70.6
187,"Ada County, Idaho",494967,0.038,56356,64.1
188,"Bannock County, Idaho",87018,0.034,43779,59.8
189,"Bonneville County, Idaho",123964,0.011,50762,56.6
190,"Canyon County, Idaho",231105,0.0279999999999999,42888,64.0
191,"Kootenai County, Idaho",171362,0.02,49403,57.4
192,"Twin Falls County, Idaho",90046,0.035,44048,61.4
193,"Adams County, Illinois",65737,0.0409999999999999,45965,70.4
194,"Champaign County, Illinois",205865,0.05,46495,69.5
195,"Cook County, Illinois",5275541,0.055,55251,68.8
196,"DeKalb County, Illinois",100420,0.0559999999999999,54101,67.7
197,"DuPage County, Illinois",932877,0.035,79658,68.4
198,"Kane County, Illinois",516522,0.036,70696,67.8
199,"Kankakee County, Illinois",107502,0.04,52110,68.8
200,"Kendall County, Illinois",131869,0.032,84385,68.6
201,"Lake County, Illinois",714342,0.042,78026,67.5
202,"LaSalle County, Illinois",109658,0.046,50633,68.8
203,"McHenry County, Illinois",310229,0.039,77222,66.8
204,"McLean County, Illinois",170954,0.0279999999999999,62211,69.5
205,"Macon County, Illinois",103998,0.057,47176,69.8
206,"Madison County, Illinois",265859,0.038,53431,71.8
207,"Peoria County, Illinois",181830,0.055,51147,70.3
208,"Rock Island County, Illinois",144672,0.053,48817,69.3
209,"St. Clair County, Illinois",257400,0.047,49895,72.0
210,"Sangamon County, Illinois",196343,0.0559999999999999,56167,69.4
211,"Tazewell County, Illinois",131343,0.038,58194,70.4
212,"Vermilion County, Illinois",74188,0.083,42977,68.9
213,"Will County, Illinois",696355,0.038,76101,68.8
214,"Williamson County, Illinois",67153,0.037,44453,70.4
215,"Winnebago County, Illinois",285350,0.069,48225,66.8
216,"Allen County, Indiana",385410,0.037,49092,67.6
217,"Bartholomew County, Indiana",82208,0.02,55050,68.5
218,"Boone County, Indiana",70812,0.019,67552,67.8
219,"Clark County, Indiana",121093,0.042,51699,70.2
220,"Delaware County, Indiana",111903,0.064,38830,68.1
221,"Elkhart County, Indiana",207047,0.031,47913,67.2
222,"Floyd County, Indiana",80484,0.031,54914,70.3
223,"Grant County, Indiana",66674,0.0559999999999999,40294,67.8
224,"Hamilton County, Indiana",347467,0.03,86222,67.8
225,"Hancock County, Indiana",79840,0.035,66606,67.7
226,"Hendricks County, Indiana",174788,0.0279999999999999,70163,68.0
227,"Howard County, Indiana",83658,0.057,44226,67.4
228,"Johnson County, Indiana",161765,0.022,62147,68.1
229,"Kosciusko County, Indiana",80240,0.039,52821,67.6
230,"Lake County, Indiana",498700,0.06,50135,68.5
231,"LaPorte County, Indiana",112417,0.032,46872,67.7
232,"Madison County, Indiana",130129,0.053,44195,68.0
233,"Marion County, Indiana",977203,0.055,42168,68.3
234,"Monroe County, Indiana",139718,0.039,42404,68.2
235,"Morgan County, Indiana",71780,0.026,55432,68.3
236,"Porter County, Indiana",173215,0.044,63926,68.1
237,"St. Joseph County, Indiana",272912,0.042,45471,67.3
238,"Tippecanoe County, Indiana",186251,0.027,45932,68.8
239,"Vanderburgh County, Indiana",180136,0.049,43046,71.7
240,"Vigo County, Indiana",106153,0.084,40313,70.1
241,"Wayne County, Indiana",66553,0.043,38494,66.6
242,"Black Hawk County, Iowa",131144,0.051,48369,66.0
243,"Dallas County, Iowa",99678,0.04,76320,68.1
244,"Dubuque County, Iowa",99266,0.0279999999999999,54605,65.3
245,"Johnson County, Iowa",152854,0.038,55700,67.6
246,"Linn County, Iowa",230299,0.04,59322,66.6
247,"Polk County, Iowa",492401,0.047,60061,68.7
248,"Pottawattamie County, Iowa",93667,0.0279999999999999,51976,68.4
249,"Scott County, Iowa",174669,0.039,55114,69.1
250,"Story County, Iowa",98537,0.049,50438,67.2
251,"Woodbury County, Iowa",105941,0.031,46720,66.5
